Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,Lat,Long
Kazakhstan,Asia,18798667,95942,,1058,,68871,,26013,221,5104,56,2163713,115099,Europe,48.019573,66.923684
Kenya,Africa,53881160,24411,,399,,10444,,13568,44,453,7,335318,6223,Africa,-0.023559,37.906193
Kuwait,Asia,4276658,70045,,469,,61610,,7966,127,16378,110,522200,122105,EasternMediterranean,29.31166,47.481766
Kyrgyzstan,Asia,6534479,38659,,1447,,30099,,7113,24,5916,221,267718,40970,Europe,41.20438,74.766098
Laos,Asia,7285750,20,,,,19,,1,,3,,29374,4032,WesternPacific,19.85627,102.495496
Latvia,Europe,1883936,1275,,32,,1070,,173,,677,17,207909,110359,Europe,56.879635,24.603189
Lebanon,Asia,6822220,5672,,70,,1974,,3628,46,831,10,345268,50609,EasternMediterranean,33.854721,35.862285
Lesotho,Africa,2143943,742,,23,,175,,544,,346,11,8771,4091,Africa,-29.609988,28.233608
Liberia,Africa,5068618,1224,,78,,705,,441,,241,15,,,Africa,6.428055,-9.429499
Libya,Africa,6880353,4879,,107,,652,,4120,,709,16,59699,8677,EasternMediterranean,26.3351,17.228331
Liechtenstein,Europe,38139,89,,1,,85,,3,,2334,26,900,23598,Europe,47.166,9.555373
Lithuania,Europe,2718121,2171,,81,,1656,,434,6,799,30,540784,198955,Europe,55.169438,23.881275
Luxembourg,Europe,626952,7073,,119,,5750,,1204,9,11282,190,623994,995282,Europe,49.815273,6.129583
Macao,Asia,650193,46,,,,46,,0,,71,,4071,6261,,22.198745,113.543873
Madagascar,Africa,27755708,12526,,134,,10148,,2244,88,451,5,46301,1668,Africa,-18.766947,46.869107
Malawi,Africa,19174839,4491,,137,,2137,,2217,4,234,7,33466,1745,Africa,-13.254308,34.301525
Malaysia,Asia,32406372,9038,,125,,8713,,200,2,279,4,991333,30591,WesternPacific,4.210484,101.975766
Maldives,Asia,541448,4680,,19,,2725,,1936,12,8643,35,85587,158071,South-EastAsia,3.202778,73.22068
Mali,Africa,20302901,2552,,124,,1954,,474,,126,6,25152,1239,Africa,17.570692,-3.996166
Malta,Europe,441663,946,,9,,670,,267,,2142,20,136713,309541,Europe,35.937496,14.375416
Martinique,North America,375235,276,,15,,98,,163,1,736,40,12227,32585,,14.641528,-61.024174
Mauritania,Africa,4660728,6444,,157,,5291,,996,3,1383,34,57387,12313,Africa,21.00789,-10.940835
Mauritius,Africa,1271985,344,,10,,334,,0,,270,8,205285,161389,Africa,-20.348404,57.552152
Mayotte,Africa,273419,3042,,39,,2738,,265,2,11126,143,13000,47546,,-12.8275,45.166244
Mexico,North America,129066160,462690,6590,50517,819,308848,4140,103325,3987,3585,391,1056915,8189,Americas,23.634501,-102.552784
Moldova,Europe,4032983,26628,,828,,18676,,7124,362,6603,205,128076,31757,Europe,47.411631,28.369885
Monaco,Europe,39270,125,,4,,105,,16,2,3183,102,38209,972982,Europe,43.750298,7.412841
Mongolia,Asia,3283344,293,,,,260,,33,1,89,,38334,11675,WesternPacific,46.862496,103.846656
Montenegro,Europe,628074,3480,,60,,2178,,1242,,5541,96,38427,61182,Europe,42.708678,19.37439
Montserrat,North America,4992,13,,1,,10,,2,,2604,200,61,12220,,16.742498,-62.187366
Morocco,Africa,36953359,29644,,449,,20553,,8642,31,802,12,1383816,37448,EasternMediterranean,31.791702,-7.09262
Mozambique,Africa,31333962,2120,,15,,795,,1310,,68,0.5,65151,2079,Africa,-18.665695,35.529562
Myanmar,Asia,54446389,357,,6,,308,,43,,7,0.1,122290,2246,South-EastAsia,21.913965,95.956223
Namibia,Africa,2545264,2652,,15,,563,,2074,24,1042,6,29233,11485,Africa,-22.95764,18.49041
Nepal,Asia,29186486,21750,,65,,15389,,6296,,745,2,731977,25079,South-EastAsia,28.394857,84.124008
Netherlands,Europe,17138756,56982,,6153,,,,,37,3325,359,1079860,63007,Europe,52.132633,5.291266
New Caledonia,Australia/Oceania,285769,22,,,,22,,0,,77,,11099,38839,,-20.904305,165.618042
New Zealand,Australia/Oceania,5002100,1569,,22,,1524,,23,,314,4,486943,97348,WesternPacific,-40.900557,174.885971
Nicaragua,North America,6632263,3902,,123,,2913,,866,,588,19,,,Americas,12.865416,-85.207229
Niger,Africa,24281433,1153,,69,,1057,,27,,47,3,9052,373,Africa,17.607789,8.081666
Nigeria,Africa,206606300,45244,,930,,32430,,11884,7,219,5,306894,1485,Africa,9.081999,8.675277
North Macedonia,Europe,2083365,11399,,517,,7480,,3402,3,5471,248,109946,52773,Europe,41.608635,21.745275
Norway,Europe,5425471,9468,,256,,8857,,355,3,1745,47,472841,87152,Europe,60.472024,8.468946
Oman,Asia,5118446,80713,,492,,70910,,9311,177,15769,96,309212,60411,EasternMediterranean,21.512583,55.923255
Pakistan,Asia,221295851,281863,,6035,,256058,,19770,809,1274,27,2058872,9304,EasternMediterranean,30.375321,69.345116
Palestine,Asia,5112340,13398,,92,,6907,,6399,,2621,18,200280,39176,EasternMediterranean,31.952162,35.233154
Panama,North America,4321282,71418,,1574,,45658,,24186,161,16527,364,240995,55769,Americas,8.537981,-80.782127
Papua New Guinea,Australia/Oceania,8963009,163,,3,,53,,107,,18,0.3,10808,1206,WesternPacific,-6.314993,143.95555
Paraguay,South America,7141091,6375,,66,,4974,,1335,23,893,9,135277,18943,Americas,-23.442503,-58.443832
Peru,South America,33016319,455409,,20424,,310337,,124648,1426,13793,619,2493429,75521,Americas,-9.189967,-75.015152
